data,# of weak models,accuracy,precision_score,recall_score,f1_score,time
data_1,5,0.7597402597402597,0.42592592592592593,0.7931034482758621,0.5542168674698795,0:00:00
data_1,10,0.7597402597402597,0.42592592592592593,0.7931034482758621,0.5542168674698795,0:00:00
data_1,15,0.7597402597402597,0.42592592592592593,0.7931034482758621,0.5542168674698795,0:00:00
data_1,20,0.7597402597402597,0.42592592592592593,0.7931034482758621,0.5542168674698795,0:00:00
data_1,25,0.7597402597402597,0.42592592592592593,0.7931034482758621,0.5542168674698795,0:00:00
data_1,30,0.7597402597402597,0.42592592592592593,0.7931034482758621,0.5542168674698795,0:00:00
data_1,35,0.7597402597402597,0.42592592592592593,0.7931034482758621,0.5542168674698795,0:00:00
data_2,5,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:00
data_2,10,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:00
data_2,15,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:00
data_2,20,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:00
data_2,25,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:00
data_2,30,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:00
data_2,35,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:00
data_3,5,0.886875,0.0,0.0,0.0,0:00:00
data_3,10,0.886875,0.0,0.0,0.0,0:00:00
data_3,15,0.886875,0.0,0.0,0.0,0:00:00
data_3,20,0.886875,0.0,0.0,0.0,0:00:00
data_3,25,0.886875,0.0,0.0,0.0,0:00:00
data_3,30,0.886875,0.0,0.0,0.0,0:00:00
data_3,35,0.886875,0.0,0.0,0.0,0:00:00
data_4,5,0.9122807017543859,0.8125,0.975,0.8863636363636362,0:00:00
data_4,10,0.9122807017543859,0.8125,0.975,0.8863636363636362,0:00:00
data_4,15,0.9122807017543859,0.8125,0.975,0.8863636363636362,0:00:00
data_4,20,0.9122807017543859,0.8125,0.975,0.8863636363636362,0:00:00
data_4,25,0.9122807017543859,0.8125,0.975,0.8863636363636362,0:00:00
data_4,30,0.9122807017543859,0.8125,0.975,0.8863636363636362,0:00:00
data_4,35,0.9122807017543859,0.8125,0.975,0.8863636363636362,0:00:00
